coin,time_utc,funding_rate,funding_rate_pct,funding_8h_pct,funding_ann_pct,premium
AAVE,2026-05-04 00:00:00,2.18884e-05,0.002189,0.017511,19.17,0.0006751071
AAVE,2026-05-04 01:00:00,1.25e-05,0.00125,0.01,10.95,0.0004989693
AAVE,2026-05-04 02:00:00,1.25e-05,0.00125,0.01,10.95,0.0005678389
AAVE,2026-05-04 03:00:00,1.25e-05,0.00125,0.01,10.95,0.0003847226
AAVE,2026-05-04 04:00:00,1.25e-05,0.00125,0.01,10.95,0.0003745111
AAVE,2026-05-04 05:00:00,1.25e-05,0.00125,0.01,10.95,0.0001975639
AAVE,2026-05-04 06:00:00,1.25e-05,0.00125,0.01,10.95,2.44829e-05
AAVE,2026-05-04 07:00:00,1.25e-05,0.00125,0.01,10.95,-0.0001530195
AAVE,2026-05-04 08:00:00,1.25e-05,0.00125,0.01,10.95,-0.0001419779
AAVE,2026-05-04 09:00:00,1.25e-05,0.00125,0.01,10.95,-0.0002937663
AAVE,2026-05-04 10:00:00,1.25e-05,0.00125,0.01,10.95,-0.00025931
AAVE,2026-05-04 11:00:00,1.25e-05,0.00125,0.01,10.95,-0.0001062012
AAVE,2026-05-04 12:00:00,1.25e-05,0.00125,0.01,10.95,-0.0001883086
AAVE,2026-05-04 13:00:00,1.25e-05,0.00125,0.01,10.95,-0.0002236564
AAVE,2026-05-04 14:00:00,1.25e-05,0.00125,0.01,10.95,-0.0002660782
AAVE,2026-05-04 15:00:00,1.25e-05,0.00125,0.01,10.95,-0.0001735199
AAVE,2026-05-04 16:00:00,1.25e-05,0.00125,0.01,10.95,-0.0001572095
AAVE,2026-05-04 17:00:00,1.25e-05,0.00125,0.01,10.95,-0.0001327496
AAVE,2026-05-04 18:00:00,1.25e-05,0.00125,0.01,10.95,-2.98361e-05
AAVE,2026-05-04 19:00:00,1.25e-05,0.00125,0.01,10.95,-0.0001012322
AAVE,2026-05-04 20:00:00,1.25e-05,0.00125,0.01,10.95,-8.93384e-05
AAVE,2026-05-04 21:00:00,1.25e-05,0.00125,0.01,10.95,-0.000103321
AAVE,2026-05-04 22:00:00,1.25e-05,0.00125,0.01,10.95,-4.3435e-06
AAVE,2026-05-04 23:00:00,1.25e-05,0.00125,0.01,10.95,-2.60379e-05
AAVE,2026-05-05 00:00:00,1.25e-05,0.00125,0.01,10.95,-0.0001087489
AAVE,2026-05-05 01:00:00,1.25e-05,0.00125,0.01,10.95,-4.84848e-05
AAVE,2026-05-05 02:00:00,1.25e-05,0.00125,0.01,10.95,-3.84364e-05
AAVE,2026-05-05 03:00:00,1.25e-05,0.00125,0.01,10.95,-8.95275e-05
AAVE,2026-05-05 04:00:00,1.25e-05,0.00125,0.01,10.95,-6.5064e-06
AAVE,2026-05-05 05:00:00,1.25e-05,0.00125,0.01,10.95,-6.42758e-05
AAVE,2026-05-05 06:00:00,1.25e-05,0.00125,0.01,10.95,-2.22334e-05
AAVE,2026-05-05 07:00:00,1.25e-05,0.00125,0.01,10.95,-7.77628e-05
AAVE,2026-05-05 08:00:00,1.25e-05,0.00125,0.01,10.95,-4.71471e-05
AAVE,2026-05-05 09:00:00,1.25e-05,0.00125,0.01,10.95,-0.0002239325
AAVE,2026-05-05 10:00:00,1.25e-05,0.00125,0.01,10.95,-0.0001520186
AAVE,2026-05-05 11:00:00,1.25e-05,0.00125,0.01,10.95,-4.14993e-05
AAVE,2026-05-05 12:00:00,1.25e-05,0.00125,0.01,10.95,-1.54415e-05
AAVE,2026-05-05 13:00:00,1.25e-05,0.00125,0.01,10.95,-1.7786e-06
AAVE,2026-05-05 14:00:00,1.25e-05,0.00125,0.01,10.95,-7.28072e-05
AAVE,2026-05-05 15:00:00,1.25e-05,0.00125,0.01,10.95,-8.3918e-05
AAVE,2026-05-05 16:00:00,1.25e-05,0.00125,0.01,10.95,-2.8416e-05
ASTER,2026-05-04 00:00:00,1.25e-05,0.00125,0.01,10.95,-5.4275e-06
ASTER,2026-05-04 01:00:00,1.25e-05,0.00125,0.01,10.95,-1.29726e-05
ASTER,2026-05-04 02:00:00,1.25e-05,0.00125,0.01,10.95,1.8548e-05
ASTER,2026-05-04 03:00:00,1.25e-05,0.00125,0.01,10.95,3.30716e-05
ASTER,2026-05-04 04:00:00,1.25e-05,0.00125,0.01,10.95,0.0001222612
ASTER,2026-05-04 05:00:00,1.25e-05,0.00125,0.01,10.95,0.000218652
