coin,window,is_start,is_end,oos_start,oos_end,best_threshold,is_sharpe,is_total_ret,is_win_rate,is_n,oos_n,oos_sharpe,oos_win_rate,oos_total_ret,oos_gross_ret,oos_fund_pnl,oos_max_dd,oos_p_value,oos_long_net,oos_short_net,oos_long_sharpe,oos_short_sharpe
OP,2,2022-05-01 00:00:00+00:00,2022-08-29 00:00:00+00:00,2022-08-29 00:00:00+00:00,2022-10-28 00:00:00+00:00,0.02,0.8743512249263499,21.706223895852236,0.49107981220657276,1065,470,4.851886604424622,0.5212765957446809,25.671577195872835,37.655139195872856,0.7064380000000001,-0.3179254739044382,0.26165248297171884,-6.807937885787644,32.47951508166048,-21.54530526160165,6.542752088826025
OP,3,2022-08-29 00:00:00+00:00,2022-12-27 00:00:00+00:00,2022-12-27 00:00:00+00:00,2023-02-25 00:00:00+00:00,0.1,1.7401760802069568,39.86060122407359,0.5121951219512195,1517,288,5.443764130844958,0.5381944444444444,27.925997869853127,34.920189869853125,0.7818080000000001,-0.20057681341900602,0.3244447003024735,36.53845753628967,-8.612459666436543,19.640938121057722,-2.775902029992726
OP,4,2022-12-27 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-06-25 00:00:00+00:00,0.02,5.823790832357597,14.57700599269161,0.5,128,631,3.464638662065201,0.5134706814580031,26.91440278072664,43.15291378072665,0.798489,-0.22469930484188058,0.3527963944847433,-5.830243892427917,32.74464667315456,-13.913690895664688,4.456596438740481
OP,5,2023-04-26 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-10-23 00:00:00+00:00,0.02,0.00720843890717251,0.13077466027095141,0.5173720783322805,1583,367,3.2466128703240993,0.5177111716621253,8.471309835335266,17.896683835335267,0.48362599999999994,-0.11288220882234962,0.5067726480061271,-0.7548889585417842,9.22619879387705,-3.8800991204871176,3.821641065014968
OP,6,2023-08-24 00:00:00+00:00,2023-12-22 00:00:00+00:00,2023-12-22 00:00:00+00:00,2024-02-20 00:00:00+00:00,0.03,3.5486612548296192,6.705283545458652,0.48863636363636365,176,1007,-1.725655845969107,0.4826216484607746,-22.561589886657135,5.306103113342861,-0.678693,-0.5390547453235707,0.5586236663766678,-22.220146495964396,-0.34144339069274476,-1.8323969717005582,-0.3807648574830117
OP,7,2023-12-22 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-06-19 00:00:00+00:00,0.03,2.774304694650707,8.766388507307157,0.4772727272727273,176,96,10.061187006696438,0.4895833333333333,15.762836933247453,18.149010933247453,0.205826,-0.06588934366624957,0.29489651039986275,1.3249746330983134,14.437862300149138,2.2651340618300733,15.320077405403518
OP,8,2024-04-20 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-10-17 00:00:00+00:00,0.02,11.441368963022452,24.52959930658185,0.4609375,128,710,-4.066977411212646,0.46338028169014084,-28.381045192190363,-10.089676567190345,0.8786313749999999,-0.3763997501918791,0.24731886128350977,0.37084547346511754,-28.751890665655466,1.6372448375369164,-4.263443518448711
OP,9,2024-08-18 00:00:00+00:00,2024-12-16 00:00:00+00:00,2024-12-16 00:00:00+00:00,2025-02-14 00:00:00+00:00,0.03,13.687581976930987,32.30034073170647,0.5485714285714286,175,967,3.6269752122786714,0.5191313340227508,51.423266845099505,76.28994684509954,1.24232,-0.29118861364858245,0.22847836967818,-1.7534629459587556,53.176729791058264,-1.0381318861090878,4.535525033053905
OP,10,2024-12-16 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-06-14 00:00:00+00:00,0.02,4.028046498527493,68.02836376360497,0.5172413793103449,1334,552,-5.999036825032238,0.483695652173913,-40.14267970095807,-25.97423270095807,0.7355529999999999,-0.47981068372125,0.13266332216780136,-3.633421251925059,-36.50925844903301,-12.703452275043642,-5.70932925408448
OP,11,2025-04-15 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-10-12 00:00:00+00:00,0.1,-5.484381652115532,-98.32710217161983,0.4772135416666667,1536,920,1.542698012833967,0.4815217391304348,20.68086322992067,44.302733229920676,1.21813,-0.31420243271234016,0.6172330406277831,-7.090117949878872,27.77098117979955,-5.208606179948417,2.3337243824463223
OP,12,2025-08-13 00:00:00+00:00,2025-12-11 00:00:00+00:00,2025-12-11 00:00:00+00:00,2026-02-09 00:00:00+00:00,0.03,0.8175882670221715,13.859947670281866,0.5004226542688082,1183,550,1.9301689658478836,0.49272727272727274,11.757893572575057,25.70194657257506,0.905947,-0.2856071072510384,0.6288323207387492,-8.675272107519147,20.433165680094206,-17.29730172135445,3.659821436730165
