coin,window,is_start,is_end,oos_start,oos_end,best_threshold,is_sharpe,is_total_ret,is_win_rate,is_n,oos_n,oos_sharpe,oos_win_rate,oos_total_ret,oos_gross_ret,oos_fund_pnl,oos_max_dd,oos_p_value,oos_long_net,oos_short_net,oos_long_sharpe,oos_short_sharpe
SOL,1,2022-01-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,2022-06-30 00:00:00+00:00,0.03,-0.8006261901326195,-15.191350024785384,0.5024660912453761,1622,184,7.813943776410793,0.5271739130434783,38.45610468541523,42.578807685415214,0.8452970000000001,-0.2683926529221925,0.2589180537594212,-2.958422025901669,41.414526711316896,-1.311357885208496,21.712811121844094
SOL,2,2022-05-01 00:00:00+00:00,2022-08-29 00:00:00+00:00,2022-08-29 00:00:00+00:00,2022-10-28 00:00:00+00:00,0.03,1.3755266995436082,18.437027790081352,0.5006321112515802,791,486,7.153271369762399,0.5102880658436214,28.832285707219647,41.26179570721965,0.69249,-0.1092708919331924,0.0926536723144305,12.550247532039084,16.28203817518056,34.96793244209456,4.450869922412674
SOL,3,2022-08-29 00:00:00+00:00,2022-12-27 00:00:00+00:00,2022-12-27 00:00:00+00:00,2023-02-25 00:00:00+00:00,0.02,1.0431259882918718,17.87461692036593,0.5027777777777778,720,64,13.93581079058393,0.546875,11.992033529671094,11.14220252967109,2.577831,-0.11270566364023663,0.23805915550280088,14.884874327759578,-2.892840798088484,30.302741313345024,-8.48218584144056
SOL,4,2022-12-27 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-04-26 00:00:00+00:00,2023-06-25 00:00:00+00:00,0.03,8.337396926612172,18.74544831260817,0.5170454545454546,176,584,1.7698165074611203,0.4777397260273973,8.976642650763672,23.911107650763682,0.8335349999999999,-0.21124254906342507,0.6478666645778491,1.0037840854833275,7.972858565280346,1.458126177113655,1.8574888556035687
SOL,5,2023-04-26 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-10-23 00:00:00+00:00,0.03,2.6415138951299975,34.048035173369335,0.48693586698337293,1263,104,-19.376862657835755,0.41346153846153844,-11.682467663233552,-9.203028663233548,0.32856100000000005,-0.12266359556131841,0.037167221676594524,-5.131575464271877,-6.550892198961675,-16.798335678542507,-21.98171483028208
SOL,6,2023-08-24 00:00:00+00:00,2023-12-22 00:00:00+00:00,2023-12-22 00:00:00+00:00,2024-02-20 00:00:00+00:00,0.05,-1.0227938428050087,-4.316038204192432,0.4826388888888889,288,144,5.924315945015052,0.5347222222222222,9.64722651285505,12.96532251285505,0.5699040000000002,-0.08373207528528356,0.44876242201361694,6.878656587554996,2.768569925300054,9.135234447650847,3.1607444263352047
SOL,7,2023-12-22 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-04-20 00:00:00+00:00,2024-06-19 00:00:00+00:00,0.07,0.3317894968139304,2.05866314324287,0.5108433734939759,415,208,-2.6068172246239083,0.4855769230769231,-4.489904543725371,0.8436214562746298,0.282474,-0.10120952698444868,0.6883271519393577,-7.875895471378657,3.385990927653286,-7.496115614866105,5.498037261802565
SOL,8,2024-04-20 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-08-18 00:00:00+00:00,2024-10-17 00:00:00+00:00,0.03,3.4889747441535937,5.176589738237265,0.5056818181818182,176,319,-5.315927229726977,0.438871473354232,-12.877866052153658,-4.653494052153652,0.388628,-0.20743444102816258,0.3111485586181614,-10.819514706354635,-2.0583513457990255,-27.9119873754685,-1.0172325864663418
SOL,9,2024-08-18 00:00:00+00:00,2024-12-16 00:00:00+00:00,2024-12-16 00:00:00+00:00,2025-02-14 00:00:00+00:00,0.05,3.094677351561413,8.832328224114114,0.5138888888888888,288,280,0.10842279108664302,0.4928571428571429,0.40976760758763087,7.428629607587634,0.5411379999999999,-0.29046755931117235,0.984548481689562,13.132739540273244,-12.722971932685613,11.250364185330813,-4.93468466484458
SOL,10,2024-12-16 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-04-15 00:00:00+00:00,2025-06-14 00:00:00+00:00,0.1,2.5478737511674328,19.652755988455514,0.5,632,407,0.771672953209199,0.5012285012285013,2.6071251001344926,13.01284310013449,0.5832820000000001,-0.1791162233794333,0.8679776964907738,7.088066180858757,-4.48094108072427,7.076257467380278,-1.9025853113301459
SOL,11,2025-04-15 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-10-12 00:00:00+00:00,0.1,-1.9345395005980492,-15.645083127008608,0.4913294797687861,1038,510,-4.996839287507635,0.4568627450980392,-24.924023474345567,-12.393942474345565,1.2399190000000002,-0.31561106006558765,0.22850496531797787,-9.768805840431178,-15.155217633914388,-7.437177558299182,-4.133994953996255
SOL,12,2025-08-13 00:00:00+00:00,2025-12-11 00:00:00+00:00,2025-12-11 00:00:00+00:00,2026-02-09 00:00:00+00:00,0.02,-0.21396258753208922,-1.314329656991708,0.471169686985173,607,303,-9.07754498494752,0.4521452145214521,-18.421046160213024,-10.803319160213022,0.5632729999999997,-0.23281845338627757,0.09239486870028236,-8.295447388678834,-10.125598771534195,-27.431622280347337,-5.958498246257211
